GO Primary Key (Year plus Incident Number),Council District,GO Highest Offense Desc,Crime Type,GO Report Date,GO Location,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract,GO X Coordinate,GO Y Coordinate
20182361742,4,BURGLARY OF RESIDENCE,Burglary,2018-08-24,9707 COTTLE DR,N,2018-08-27,E,78753,18.33,3133527,10104142
20185034245,7,THEFT,Theft,2018-08-31,2315 RUTLAND DR,N,2018-09-03,A,78758,18.49,3120423,10112265
20188004012,9,THEFT OF BICYCLE,Theft,2018-10-12,425 W RIVERSIDE DR,N,2018-10-22,D,78704,13.05,3112525,10067372
20185034236,1,THEFT,Theft,2018-08-31,7000 DECKER LN,N,2018-09-19,C,78724,22.02,3150865,10082058
20185034390,1,THEFT OF LICENSE PLATE,Theft,2018-09-02,1941 WEBBERVILLE RD,N,2018-09-03,C,78721,21.1,3136249,10076820
20188002777,6,BURGLARY OF VEHICLE,Theft,2018-07-16,11215 RESEARCH BLVD NB,N,2018-08-24,A,78759,17.54,3112999,10122087
20185030946,1,THEFT,Theft,2018-08-11,11308 APRIL DR,N,2018-08-13,E,78753,18.32,3138014,10110003
20182261055,6,THEFT,Theft,2018-08-14,9826 NORTH LAKE CREEK PKWY,N,2018-08-27,A,78717,203.11,3096987,10144703
20185031732,9,THEFT OF BICYCLE,Theft,2018-08-16,127 E RIVERSIDE DR,N,2018-08-17,H,78704,14.01,3113415,10066258
20185023396,8,BURGLARY OF VEHICLE,Theft,2018-06-21,12016 PEPPERIDGE DR,N,2018-06-25,D,78739,17.75,3057924,10040387
20181901004,3,BURGLARY OF VEHICLE,Theft,2018-07-09,2809 RAY WOOD DR,N,2018-07-19,D,78704,13.07,3106219,10059966
20181771279,2,DEADLY CONDUCT,Agg Assault,2018-06-26,6900 S IH 35 NB,N,2018-07-09,F,78744,24.27,3105558,10041172
20185024337,8,BURGLARY OF VEHICLE,Theft,2018-06-27,4701 MONTEREY OAKS BLVD,N,2018-06-28,D,78749,17.49,3084192,10056464
20185031643,1,THEFT,Theft,2018-08-15,1823 AIRPORT BLVD,N,2018-09-04,C,78721,21.09,3126712,10076161
20185035494,1,THEFT,Theft,2018-09-09,8913 INDIGO SKY DR,N,2018-10-09,C,78724,22.11,3150360,10077089
20185029995,9,THEFT BY SHOPLIFTING,Theft,2018-08-06,1201 BARBARA JORDAN BLVD,N,2018-08-06,B,78723,3.06,3124601,10084923
20182140793,2,BURGLARY OF RESIDENCE,Burglary,2018-08-02,7001 ALEGRE PASS,N,2018-09-13,F,78744,24.27,3106763,10039521
20182701575,2,MURDER,Murder,2018-09-27,7330 BLUFF SPRINGS RD,O,2018-09-28,F,78744,24.27,3106388,10038359
20185038825,,BURGLARY OF VEHICLE,Theft,2018-09-30,5935 CAPE CORAL DR,N,2018-10-01,D,78746,19.17,3085012,10074097
20188003566,6,THEFT BY SHOPLIFTING,Theft,2018-09-08,11521 N FM 620 RD,N,2018-11-14,A,78726,17.14,3086560,10137995
20181781506,7,THEFT,Theft,2018-06-27,12118 WALNUT PARK XING,N,2018-07-10,E,78753,18.26,3134045,10116652
20182420490,9,THEFT BY SHOPLIFTING,Theft,2018-08-30,3909 N IH 35 SVRD NB,N,2018-09-10,C,78722,3.07,3122010,10081176
20182531786,9,AGG ASSAULT,Agg Assault,2018-09-11,210 W 27TH ST,C,2018-09-19,B,78705,6.01,3115156,10079889
20185038232,3,BURGLARY OF VEHICLE,Theft,2018-09-26,2400 WICKERSHAM LN,N,2018-09-27,H,78741,23.14,3120814,10056202
20185035300,1,THEFT OF LICENSE PLATE,Theft,2018-09-07,6103 MANOR RD,N,2018-09-18,I,78723,21.07,3134407,10085593
20188004288,7,THEFT FROM BUILDING,Theft,2018-10-28,12825 BURNET RD,N,2018-11-05,A,78727,18.48,3126272,10128086
20182781535,3,RAPE,Rape,2018-10-05,,,,H,78741,23.07,,
20182330193,4,THEFT,Theft,2018-08-21,BETHUNE AVE / E ST JOHNS AVE,N,2018-09-03,I,78752,18.12,3127832,10093652
20182240474,9,THEFT,Theft,2018-08-12,5101 N LAMAR BLVD,N,2018-08-18,I,78751,3.05,3117761,10089291
20185026002,4,THEFT OF AUTO PARTS,Theft,2018-07-10,2217 W BRAKER LN,N,2018-07-12,A,78758,18.49,3122978,10116002
20185046298,1,THEFT,Theft,2018-11-17,1704 SHELBOURNE DR,N,2018-11-19,I,78752,18.11,3132432,10092934
20185041807,6,BURGLARY OF VEHICLE,Theft,2018-10-18,13005 HEINEMANN DR,N,2018-10-22,A,78727,17.85,3112215,10133423
20185042123,7,THEFT,Theft,2018-10-20,3211 FEATHERGRASS CT,N,2018-10-22,A,78758,18.49,3118106,10116811
20185034148,3,BURGLARY OF VEHICLE,Theft,2018-08-31,4320 S IH 35 SVRD SB,N,2018-09-06,D,78745,24.03,3110969,10050594
20182250521,3,BURGLARY OF VEHICLE,Theft,2018-08-13,1125 GARLAND AVE,N,2018-08-31,C,78721,21.1,3132539,10071614
20185037600,6,THEFT FROM AUTO,Theft,2018-09-22,12302 RUSTIC MANOR CT,N,2018-10-15,A,78750,204.03,3091633,10140045
20182210750,5,THEFT,Theft,2018-08-09,11408 BLAIRVIEW LN,N,2018-08-27,F,78748,17.74,3083945,10029472
20185037443,4,THEFT,Theft,2018-09-21,822 FAIRFIELD DR,N,2018-09-24,E,78758,18.05,3126031,10103202
20182361522,1,BURGLARY OF RESIDENCE,Burglary,2018-08-24,2606 WHELESS LN,N,2018-08-28,I,78723,21.12,3133582,10086395
20185028112,3,THEFT,Theft,2018-07-24,710 E BEN WHITE BLVD SVRD EB,N,2018-08-01,D,78745,24.03,3110632,10052562
20185032382,8,THEFT BY SHOPLIFTING,Theft,2018-08-20,4970 W US 290 HWY WB,N,2018-08-21,D,78735,19.15,3090597,10057931
20182160744,2,AGG RAPE,Rape,2018-08-04,,N,2018-08-24,F,78744,24.31,,
20185042998,10,BURGLARY OF VEHICLE,Theft,2018-10-26,3825 LAKE AUSTIN BLVD,N,2018-10-29,B,78703,16.02,3101011,10080328
20182300796,2,AGG ASLT STRANGLE/SUFFOCATE,Agg Assault,2018-08-18,3716 BRONCO BEND LOOP,C,2018-08-23,H,78744,24.31,3130298,10045304
20183031122,6,BURGLARY OF VEHICLE,Theft,2018-10-30,9826 NORTH LAKE CREEK PKWY,N,2018-11-07,A,78717,203.11,3096987,10144703
20181710743,7,ROBBERY BY ASSAULT,Robbery,2018-06-20,10515 N MOPAC EXPY SVRD NB,C,2018-11-16,A,78758,17.53,3116529,10116684
