GO Primary Key (Year plus Incident Number),Council District,GO Highest Offense Desc,Crime Type,GO Report Date,GO Location,GO X Coordinate,GO Y Coordinate,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract
20185024541,6,BURGLARY OF VEHICLE,Theft,28-Jun-18,13729 N US 183 HWY NB,3096944.00,10139726,N,2-Jul-18,A,78729,204.08
20182761389,1,AGG ASLT STRANGLE/SUFFOCATE,Agg Assault,3-Oct-18,3811 E 12TH ST,3130796.00,10074307,N,9-Oct-18,C,78721,21.09
20185025614,2,BURGLARY OF VEHICLE,Theft,7-Jul-18,7601 E BEN WHITE BLVD SVRD EB,3130550.00,10052537,N,16-Jul-18,H,78744,24.31
20185027197,6,THEFT BY SHOPLIFTING,Theft,18-Jul-18,10900 LAKELINE MALL DR,3095631.00,10145975,N,19-Jul-18,A,78717,203.11
20185047939,10,THEFT FROM AUTO,Theft,29-Nov-18,10000 RESEARCH BLVD SVRD SB,3111977.00,10115825,N,3-Dec-18,A,78759,17.22
20185039873,1,BURGLARY OF VEHICLE,Theft,7-Oct-18,12001 DESSAU RD,3141598.00,10111856,N,8-Oct-18,E,78754,18.34
20181770440,8,AUTO THEFT,Auto Theft,26-Jun-18,4701 STAGGERBRUSH RD,3084972.00,10057406,N,3-Jul-18,D,78749,17.49
20185027101,2,BURGLARY OF VEHICLE,Theft,17-Jul-18,1503 WARRIOR LN,3138967.00,10054477,N,30-Jul-18,H,78617,23.1
20183540235,4,AUTO THEFT,Auto Theft,20-Dec-18,1401 E RUNDBERG LN,3133940.00,10101616,C,20-Dec-18,E,78753,18.13
20181870607,5,BURGLARY NON RESIDENCE,Burglary,27-Jun-18,6500 MANCHACA RD,3094855.00,10048261,N,11-Sep-18,D,78745,17.13
20185052377,4,BURGLARY OF VEHICLE,Theft,29-Dec-18,950 E 53RD ST,3123984.00,10087065,,,I,78751,21.05
20185052421,6,BURGLARY OF VEHICLE,Theft,29-Dec-18,12719 ACADIAN TRL,3112344.00,10131973,N,31-Dec-18,A,78727,17.86
20185052464,3,THEFT FROM AUTO,Theft,30-Dec-18,100 RAMBLE LN,3105196.00,10049250,N,31-Dec-18,D,78745,24.02
20182211249,1,THEFT,Theft,9-Aug-18,6518 ED BLUESTEIN BLVD SB,3139623.00,10084178,N,23-Aug-18,C,78723,21.08
20188002637,5,BURGLARY OF VEHICLE,Theft,28-Jun-18,4700 SUNSET TRL,3095451.00,10056540,N,16-Jul-18,D,78745,17.5
20185033905,7,THEFT BY SHOPLIFTING,Theft,29-Aug-18,2525 W ANDERSON LN,3116494.00,10102601,N,31-Aug-18,B,78757,15.01
20185027634,9,THEFT,Theft,20-Jul-18,2819 RIO GRANDE ST,3113811.00,10080566,N,23-Jul-18,B,78705,6.03
20185025701,9,THEFT,Theft,8-Jul-18,3909 N IH 35 SVRD NB,3122010.00,10081176,N,3-Aug-18,C,78722,3.07
20185026862,9,BREACH OF COMPUTER SECURITY,Theft,16-Jul-18,360 NUECES ST,3112166.00,10070554,N,24-Oct-18,G,78701,11
20182340556,7,SEXUAL ASSAULT OF CHILD/OBJECT,Rape,22-Aug-18,,,,C,4-Oct-18,A,78758,18.49
20188002643,7,THEFT OF BICYCLE,Theft,9-Jul-18,3210 ESPERANZA XING,3119294.00,10118872,N,4-Sep-18,A,78758,18.49
20188002646,4,THEFT,Theft,12-Jul-18,7000 GUADALUPE ST,3122180.00,10095627,N,13-Jul-18,I,78752,15.03
20182460391,3,BURGLARY OF COIN-OP MACHINE,Theft,3-Sep-18,2001 E RIVERSIDE DR,3119097.00,10061134,N,10-Sep-18,H,78741,23.16
20185036030,9,THEFT OF METAL,Theft,12-Sep-18,4412 AVENUE A,3117205.00,10086193,N,23-Nov-18,B,78751,3.02
20181841545,4,AGG ASSAULT ON PUBLIC SERVANT,Agg Assault,3-Jul-18,5330 N IH 35 SVRD SB,3124538.00,10087177,C,3-Jul-18,I,78751,21.05
20185041049,8,THEFT BY SHOPLIFTING,Theft,15-Oct-18,2901 S CAPITAL OF TEXAS HWY NB,3094135.00,10066586,N,28-Nov-18,D,78746,19.1
20182630567,1,AGG ASSAULT FAM/DATE VIOLENCE,Agg Assault,20-Sep-18,2406 ROSEWOOD AVE,3124906.00,10072484,C,24-Sep-18,C,78702,8.02
20185043402,1,BURGLARY OF VEHICLE,Theft,30-Oct-18,12000 DESSAU RD,3141263.00,10112276,N,1-Nov-18,E,78753,18.35
20183360540,7,AUTO THEFT,Auto Theft,2-Dec-18,2100 POLARIS AVE,3119280.00,10107262,N,3-Dec-18,I,78757,18.18
20188002780,7,BURGLARY OF VEHICLE,Theft,25-Jul-18,11506 TEDFORD ST,3132055.00,10113439,N,26-Jul-18,E,78753,18.24
20182231733,4,AGG SEXUAL ASSAULT CHILD/OBJEC,Rape,11-Aug-18,,,,N,31-Jan-19,I,78723,21.06
20188003490,6,THEFT FROM BUILDING,Theft,10-Sep-18,12545 RIATA VISTA CIR,3115092.00,10130584,N,11-Sep-18,A,78727,17.45
20182900828,4,BURGLARY OF RESIDENCE,Burglary,17-Oct-18,1711 RUTLAND DR,3123198.00,10109941,N,18-Oct-18,E,78758,18.2
20182961532,8,THEFT,Theft,23-Oct-18,5017 W US 290 HWY SVRD EB,3089371.00,10057773,C,25-Oct-18,D,78749,17.5
20182071155,3,ROBBERY BY THREAT,Robbery,26-Jul-18,2305 BURLESON RD,3116904.00,10057328,C,31-Jul-18,H,78741,23.13
20185028598,3,BURGLARY OF VEHICLE,Theft,27-Jul-18,2200 WILLOW CREEK DR,3118401.00,10057171,N,30-Jul-18,H,78741,23.15
